model,coefficient,abs_coefficient,relative_weight
lightgbm,2.2109016048426864,2.2109016048426864,0.37465888307575296
bayesian_logistic,1.981651854331068,1.981651854331068,0.3358102724980835
logistic_regression,1.7085520656501694,1.7085520656501694,0.2895308444261635
