indicator,brier_score,brier_skill_score,log_loss,auc_roc,calibration_error,n_samples,base_rate
RSXFS,0.0073261964636451606,0.0,,0.5,0.08132694541722575,25,0.0
INDPRO,0.029381696301556286,0.0,,0.5,0.1656246764778796,26,0.0
ICSA,0.24303835739857715,-0.009486510607914944,0.6789827701538841,0.521889400921659,0.05345516450247391,104,0.40384615384615385
HOUST,0.2758053600034525,-0.33499065010074514,0.7455060797191209,0.40756302521008403,0.2559163850223367,24,0.7083333333333334
DGORDER,0.2872473214382963,0.0,,0.5,0.5334898225398433,23,1.0
PAYEMS,0.5385675399645579,0.0,,0.5,0.7258947095741138,24,0.0
